dataset,threshold,baseline_model,baseline_label,metric,n_target_pools,response,predictor,controls,partial_slope_per_1sd_label_agreement,partial_correlation,permutation_p_two_sided,direction
robin_netperturbation,20,global_knn25,Global kNN-25,aupr,27,RNAsmol improvement over ligand-only baseline,nearest_train_label_agreement,positive_rate;log_n_candidates,-0.03260097018936977,-0.13757539301187383,0.48435156484351566,negative_supports_larger_gain_at_lower_label_agreement
robin_netperturbation,20,global_knn25,Global kNN-25,ef5,27,RNAsmol improvement over ligand-only baseline,nearest_train_label_agreement,positive_rate;log_n_candidates,-0.15986731003726543,-0.09290285275937095,0.6465353464653535,negative_supports_larger_gain_at_lower_label_agreement
robin_netperturbation,20,global_pos_nn,Global pos-NN,aupr,27,RNAsmol improvement over ligand-only baseline,nearest_train_label_agreement,positive_rate;log_n_candidates,0.0958588083681525,0.3894900932503159,0.0446955304469553,not_negative
robin_netperturbation,20,global_pos_nn,Global pos-NN,ef5,27,RNAsmol improvement over ligand-only baseline,nearest_train_label_agreement,positive_rate;log_n_candidates,0.49848053848504986,0.3135217779849751,0.11898810118988101,not_negative
robin_netperturbation,20,xgboost_ecfp,XGBoost ECFP,aupr,27,RNAsmol improvement over ligand-only baseline,nearest_train_label_agreement,positive_rate;log_n_candidates,-0.05766036868505018,-0.20731189700283006,0.296970302969703,negative_supports_larger_gain_at_lower_label_agreement
robin_netperturbation,20,xgboost_ecfp,XGBoost ECFP,ef5,27,RNAsmol improvement over ligand-only baseline,nearest_train_label_agreement,positive_rate;log_n_candidates,-0.434264219521997,-0.1869370753904464,0.3434656534346565,negative_supports_larger_gain_at_lower_label_agreement
robin_netperturbation,50,global_knn25,Global kNN-25,aupr,17,RNAsmol improvement over ligand-only baseline,nearest_train_label_agreement,positive_rate;log_n_candidates,0.046070945561793884,0.4034328512745851,0.10528947105289471,not_negative
robin_netperturbation,50,global_knn25,Global kNN-25,ef5,17,RNAsmol improvement over ligand-only baseline,nearest_train_label_agreement,positive_rate;log_n_candidates,-0.026408041029288287,-0.03978891786567829,0.8757124287571243,negative_supports_larger_gain_at_lower_label_agreement
robin_netperturbation,50,global_pos_nn,Global pos-NN,aupr,17,RNAsmol improvement over ligand-only baseline,nearest_train_label_agreement,positive_rate;log_n_candidates,0.04529061278396683,0.3295432974634127,0.1999800019998,not_negative
robin_netperturbation,50,global_pos_nn,Global pos-NN,ef5,17,RNAsmol improvement over ligand-only baseline,nearest_train_label_agreement,positive_rate;log_n_candidates,0.14719359000203128,0.14390130587529323,0.581941805819418,not_negative
robin_netperturbation,50,xgboost_ecfp,XGBoost ECFP,aupr,17,RNAsmol improvement over ligand-only baseline,nearest_train_label_agreement,positive_rate;log_n_candidates,0.020995888603235605,0.14790724305617495,0.5715428457154285,not_negative
robin_netperturbation,50,xgboost_ecfp,XGBoost ECFP,ef5,17,RNAsmol improvement over ligand-only baseline,nearest_train_label_agreement,positive_rate;log_n_candidates,-0.09131158513357737,-0.08667597754108822,0.7387261273872613,negative_supports_larger_gain_at_lower_label_agreement
