dataset,dataset_label,threshold,target_metric,target_metric_label,n_target_pools,pair_level_statement,target_wise_statement,spearman_rank_correlation,leader_match,protocol_conclusion
robin_molperturbation,Molecule perturbation,20,mean_ef5,EF5,27,Pooled-pair AUPR leader: Global pos-NN.,Target-wise EF5 leader: Global pos-NN | RF ECFP | RNAsmol | XGBoost ECFP.,0.7071067811865475,False,Pair-level AUPR does not determine target-wise early retrieval.
robin_molperturbation,Molecule perturbation,20,mean_mrr,MRR,27,Pooled-pair AUPR leader: Global pos-NN.,Target-wise MRR leader: Global pos-NN | RF ECFP | RNAsmol | XGBoost ECFP.,0.7071067811865475,False,Pair-level AUPR does not determine target-wise early retrieval.
robin_molperturbation,Molecule perturbation,20,mean_first_hit_rank,First-hit,27,Pooled-pair AUPR leader: Global pos-NN.,Target-wise First-hit leader: Global pos-NN | RF ECFP | RNAsmol | XGBoost ECFP.,0.7071067811865475,False,Pair-level AUPR does not determine target-wise early retrieval.
robin_molperturbation,Molecule perturbation,50,mean_ef5,EF5,13,Pooled-pair AUPR leader: Global pos-NN.,Target-wise EF5 leader: Global pos-NN | RF ECFP | RNAsmol | XGBoost ECFP.,0.7071067811865475,False,Pair-level AUPR does not determine target-wise early retrieval.
robin_molperturbation,Molecule perturbation,50,mean_mrr,MRR,13,Pooled-pair AUPR leader: Global pos-NN.,Target-wise MRR leader: Global pos-NN | RF ECFP | RNAsmol | XGBoost ECFP.,0.7071067811865475,False,Pair-level AUPR does not determine target-wise early retrieval.
robin_molperturbation,Molecule perturbation,50,mean_first_hit_rank,First-hit,13,Pooled-pair AUPR leader: Global pos-NN.,Target-wise First-hit leader: Global pos-NN | RF ECFP | RNAsmol | XGBoost ECFP.,0.7071067811865475,False,Pair-level AUPR does not determine target-wise early retrieval.
robin_netperturbation,Network perturbation,20,mean_ef5,EF5,27,Pooled-pair AUPR leader: RNAsmol.,Target-wise EF5 leader: RNAsmol.,0.7999999999999999,True,Pair-level and target-wise rankings agree for this endpoint.
robin_netperturbation,Network perturbation,20,mean_mrr,MRR,27,Pooled-pair AUPR leader: RNAsmol.,Target-wise MRR leader: RNAsmol.,0.8999999999999998,True,Pair-level and target-wise rankings agree for this endpoint.
robin_netperturbation,Network perturbation,20,mean_first_hit_rank,First-hit,27,Pooled-pair AUPR leader: RNAsmol.,Target-wise First-hit leader: RNAsmol.,0.8999999999999998,True,Pair-level and target-wise rankings agree for this endpoint.
robin_netperturbation,Network perturbation,50,mean_ef5,EF5,17,Pooled-pair AUPR leader: RNAsmol.,Target-wise EF5 leader: RNAsmol.,0.8999999999999998,True,Pair-level and target-wise rankings agree for this endpoint.
robin_netperturbation,Network perturbation,50,mean_mrr,MRR,17,Pooled-pair AUPR leader: RNAsmol.,Target-wise MRR leader: RNAsmol | XGBoost ECFP.,0.8720815992723809,False,Pair-level AUPR does not determine target-wise early retrieval.
robin_netperturbation,Network perturbation,50,mean_first_hit_rank,First-hit,17,Pooled-pair AUPR leader: RNAsmol.,Target-wise First-hit leader: RNAsmol | XGBoost ECFP.,0.8720815992723809,False,Pair-level AUPR does not determine target-wise early retrieval.
