dataset,threshold,baseline_model,metric,n_pools,improvement_mean,pearson_r,spearman_r,spearman_p,median_label_agreement_cutpoint,low_agreement_mean_improvement,high_agreement_mean_improvement,low_minus_high_mean_improvement,low_agreement_mean_positive_rate,high_agreement_mean_positive_rate
robin_molperturbation,20,global_knn25,aupr,27,0.0232707430307629,-0.1927733008454991,-0.3077862738901594,0.1183309660040139,0.8846153846153846,0.0299462956945524,0.0160816863159126,0.0138646093786398,0.5148160639072988,0.49457544039736
robin_molperturbation,20,global_knn25,ef5,27,0.0631063858107883,-0.0304362035398865,-0.0827937338654644,0.6813966048106507,0.8846153846153846,0.0738480297779489,0.0515384615384615,0.0223095682394873,0.5148160639072988,0.49457544039736
robin_molperturbation,20,global_knn25,first_hit_rank,27,0.037037037037037,0.2054995089220055,0.2266800907451891,0.2555352387349785,0.8846153846153846,0.0,0.0769230769230769,-0.0769230769230769,0.5148160639072988,0.49457544039736
robin_molperturbation,20,global_knn25,mrr,27,0.0185185185185185,0.2054995089220055,0.2266800907451891,0.2555352387349785,0.8846153846153846,0.0,0.0384615384615384,-0.0384615384615384,0.5148160639072988,0.49457544039736
robin_molperturbation,20,global_pos_nn,aupr,27,-0.0300403300168722,0.0650419576267276,0.1475034373586079,0.4628185545635321,0.8846153846153846,-0.0348007261824928,-0.0249137495308192,-0.0098869766516735,0.5148160639072988,0.49457544039736
robin_molperturbation,20,global_pos_nn,ef5,27,0.0,,,,0.8846153846153846,0.0,0.0,0.0,0.5148160639072988,0.49457544039736
robin_molperturbation,20,global_pos_nn,first_hit_rank,27,0.0,,,,0.8846153846153846,0.0,0.0,0.0,0.5148160639072988,0.49457544039736
robin_molperturbation,20,global_pos_nn,mrr,27,0.0,,,,0.8846153846153846,0.0,0.0,0.0,0.5148160639072988,0.49457544039736
robin_molperturbation,20,rf_ecfp,aupr,27,-0.0144850750264215,-0.1742562243402316,-0.3453962477279205,0.0776356427421991,0.8846153846153846,-0.0120600922160738,-0.0170965949760268,0.0050365027599529,0.5148160639072988,0.49457544039736
robin_molperturbation,20,rf_ecfp,ef5,27,0.0,,,,0.8846153846153846,0.0,0.0,0.0,0.5148160639072988,0.49457544039736
robin_molperturbation,20,rf_ecfp,first_hit_rank,27,0.0,,,,0.8846153846153846,0.0,0.0,0.0,0.5148160639072988,0.49457544039736
robin_molperturbation,20,rf_ecfp,mrr,27,0.0,,,,0.8846153846153846,0.0,0.0,0.0,0.5148160639072988,0.49457544039736
robin_molperturbation,20,xgboost_ecfp,aupr,27,-0.008385044115081,-0.2486579483497059,-0.3386259699843122,0.084031841999363,0.8846153846153846,-0.0048382240219823,-0.0122046965230335,0.0073664725010511,0.5148160639072988,0.49457544039736
robin_molperturbation,20,xgboost_ecfp,ef5,27,0.0,,,,0.8846153846153846,0.0,0.0,0.0,0.5148160639072988,0.49457544039736
robin_molperturbation,20,xgboost_ecfp,first_hit_rank,27,0.0,,,,0.8846153846153846,0.0,0.0,0.0,0.5148160639072988,0.49457544039736
robin_molperturbation,20,xgboost_ecfp,mrr,27,0.0,,,,0.8846153846153846,0.0,0.0,0.0,0.5148160639072988,0.49457544039736
robin_molperturbation,50,global_knn25,aupr,13,0.0519036422156498,0.0486119559754602,-0.2197802197802197,0.4706148514721425,0.8648648648648649,0.0560610889019601,0.0470532877482877,0.0090078011536724,0.526030687238367,0.5048891501294461
robin_molperturbation,50,global_knn25,ef5,13,0.1310671089916373,0.1329979821405147,0.029724376729896,0.9232078415890164,0.8648648648648649,0.1476960595558978,0.1116666666666667,0.036029392889231,0.526030687238367,0.5048891501294461
robin_molperturbation,50,global_knn25,first_hit_rank,13,0.0769230769230769,0.4532633463930218,0.4629100498862757,0.111172952769057,0.8648648648648649,0.0,0.1666666666666666,-0.1666666666666666,0.526030687238367,0.5048891501294461
