summary_type,dataset,threshold,baseline_model,metric,n_pools,mean_delta,ci_low,ci_high,low_agreement_mean_delta,high_agreement_mean_delta,low_minus_high_delta
label_agreement_bin_contrast,robin_netperturbation,10,global_knn25,ef5,27,,,,0.8417741697762401,0.0363940222133337,0.8053801475629063
label_agreement_bin_contrast,robin_netperturbation,10,global_pos_nn,ef5,27,,,,1.3361129305356176,0.2984571053616168,1.037655825174001
label_agreement_bin_contrast,robin_netperturbation,10,xgboost_ecfp,ef5,27,,,,1.0343566045947,-0.0956525135524851,1.1300091181471852
label_agreement_bin_contrast,robin_netperturbation,20,global_knn25,ef5,27,,,,0.8417741697762401,0.0363940222133337,0.8053801475629063
label_agreement_bin_contrast,robin_netperturbation,20,global_pos_nn,ef5,27,,,,1.3361129305356176,0.2984571053616168,1.037655825174001
label_agreement_bin_contrast,robin_netperturbation,20,xgboost_ecfp,ef5,27,,,,1.0343566045947,-0.0956525135524851,1.1300091181471852
label_agreement_bin_contrast,robin_netperturbation,50,global_knn25,ef5,17,,,,0.5546367157598134,-0.0908193461228266,0.6454560618826402
label_agreement_bin_contrast,robin_netperturbation,50,global_pos_nn,ef5,17,,,,0.7211942527034532,0.2501679929888863,0.4710262597145668
label_agreement_bin_contrast,robin_netperturbation,50,xgboost_ecfp,ef5,17,,,,0.3155634914292178,-0.0846095261292555,0.4001730175584733
paired_metric_delta,robin_netperturbation,10,global_knn25,aupr,27,0.083371694587746,0.0479815981075176,0.1206302924268944,,,
paired_metric_delta,robin_netperturbation,10,global_knn25,ef5,27,0.4539985431718777,0.1790196237869884,0.7797212426008417,,,
paired_metric_delta,robin_netperturbation,10,global_knn25,mrr,27,0.0961199294532628,-0.0185185185185185,0.2204585537918871,,,
paired_metric_delta,robin_netperturbation,10,global_pos_nn,aupr,27,0.1958215234116586,0.1528326539843728,0.2416553166049488,,,
paired_metric_delta,robin_netperturbation,10,global_pos_nn,ef5,27,0.8365008665629505,0.517514478714177,1.1654708569361043,,,
paired_metric_delta,robin_netperturbation,10,global_pos_nn,mrr,27,0.4430621749865447,0.3510106656354044,0.5268197422378793,,,
paired_metric_delta,robin_netperturbation,10,xgboost_ecfp,aupr,27,0.0780558787816952,0.0376145009033556,0.124323301499401,,,
paired_metric_delta,robin_netperturbation,10,xgboost_ecfp,ef5,27,0.4902781403016107,0.0996310511894027,0.9450739852749872,,,
paired_metric_delta,robin_netperturbation,10,xgboost_ecfp,mrr,27,0.1194444444444444,-0.0185185185185185,0.2657407407407407,,,
paired_metric_delta,robin_netperturbation,20,global_knn25,aupr,27,0.083371694587746,0.0481821376335823,0.1210061521185185,,,
paired_metric_delta,robin_netperturbation,20,global_knn25,ef5,27,0.4539985431718777,0.1815918509271468,0.778104610716824,,,
paired_metric_delta,robin_netperturbation,20,global_knn25,mrr,27,0.0961199294532628,-0.0185185185185185,0.2204585537918871,,,
paired_metric_delta,robin_netperturbation,20,global_pos_nn,aupr,27,0.1958215234116586,0.152611747832693,0.2423942402807777,,,
paired_metric_delta,robin_netperturbation,20,global_pos_nn,ef5,27,0.8365008665629505,0.511823508073561,1.163444723728232,,,
paired_metric_delta,robin_netperturbation,20,global_pos_nn,mrr,27,0.4430621749865447,0.3477426983191193,0.5289110155021809,,,
paired_metric_delta,robin_netperturbation,20,xgboost_ecfp,aupr,27,0.0780558787816952,0.0373915085225435,0.1258566992239884,,,
paired_metric_delta,robin_netperturbation,20,xgboost_ecfp,ef5,27,0.4902781403016107,0.10664047291845,0.944253521878388,,,
paired_metric_delta,robin_netperturbation,20,xgboost_ecfp,mrr,27,0.1194444444444444,-0.0166666666666666,0.2583333333333333,,,
paired_metric_delta,robin_netperturbation,50,global_knn25,aupr,17,0.0606949737132324,0.0323237473655425,0.0882760822093062,,,
paired_metric_delta,robin_netperturbation,50,global_knn25,ef5,17,0.250892686638571,-0.0060001698868215,0.50044831414239,,,
paired_metric_delta,robin_netperturbation,50,global_knn25,mrr,17,0.0196078431372549,-0.1078431372549019,0.1470588235294117,,,
paired_metric_delta,robin_netperturbation,50,global_pos_nn,aupr,17,0.1497337233176426,0.1150373933846687,0.187809705825449,,,
paired_metric_delta,robin_netperturbation,50,global_pos_nn,ef5,17,0.4995348363671865,0.167897228879617,0.8292523105777723,,,
paired_metric_delta,robin_netperturbation,50,global_pos_nn,mrr,17,0.3554953739629082,0.2357990267255207,0.457678409691464,,,
paired_metric_delta,robin_netperturbation,50,xgboost_ecfp,aupr,17,0.0397074851290502,0.0064640484514321,0.0722214973760075,,,
paired_metric_delta,robin_netperturbation,50,xgboost_ecfp,ef5,17,0.1272467772840539,-0.153292590626488,0.4053356506623003,,,
paired_metric_delta,robin_netperturbation,50,xgboost_ecfp,mrr,17,0.0,-0.1470588235294117,0.1470588235294117,,,
